TransactionID,UserID,CourseID,TransactionDate,Amount,PaymentMethod,TeacherID,Year,Month,MonthName,Quarter,Day,DayOfWeek,DayName
TT00001,U00003,CR00016,2025-10-25,0.0,PayPal,TC00040,2025,10,October,4,25,5,Saturday
TT00002,U00003,CR00037,2025-01-13,0.0,PayPal,TC00040,2025,1,January,1,13,0,Monday
TT00003,U00003,CR00019,2025-03-28,0.0,Bank Transfer,TC00040,2025,3,March,1,28,4,Friday
TT00004,U00004,CR00048,2025-06-02,0.0,Bank Transfer,TC00040,2025,6,June,2,2,0,Monday
TT00005,U00004,CR00060,2025-08-10,0.0,PayPal,TC00042,2025,8,August,3,10,6,Sunday
TT00006,U00004,CR00042,2025-10-30,0.0,Credit Card,TC00042,2025,10,October,4,30,3,Thursday
TT00007,U00004,CR00017,2025-05-09,0.0,Bank Transfer,TC00042,2025,5,May,2,9,4,Friday
TT00008,U00004,CR00025,2025-05-07,299.57,Credit Card,TC00040,2025,5,May,2,7,2,Wednesday
TT00009,U00013,CR00003,2025-10-05,0.0,PayPal,TC00040,2025,10,October,4,5,6,Sunday
TT00010,U00013,CR00032,2025-09-29,0.0,Bank Transfer,TC00040,2025,9,September,3,29,0,Monday
TT00011,U00013,CR00060,2025-11-26,0.0,PayPal,TC00042,2025,11,November,4,26,2,Wednesday
TT00012,U00013,CR00030,2025-01-20,0.0,Bank Transfer,TC00042,2025,1,January,1,20,0,Monday
TT00013,U00013,CR00056,2025-08-28,212.39,Bank Transfer,TC00042,2025,8,August,3,28,3,Thursday
TT00014,U00015,CR00045,2025-04-27,0.0,PayPal,TC00040,2025,4,April,2,27,6,Sunday
TT00015,U00015,CR00046,2025-02-19,248.1,Bank Transfer,TC00040,2025,2,February,1,19,2,Wednesday
TT00016,U00015,CR00040,2025-12-22,327.99,Credit Card,TC00040,2025,12,December,4,22,0,Monday
TT00017,U00015,CR00019,2025-07-14,0.0,Bank Transfer,TC00042,2025,7,July,3,14,0,Monday
TT00018,U00018,CR00046,2025-05-22,248.1,Credit Card,TC00040,2025,5,May,2,22,3,Thursday
TT00019,U00018,CR00047,2025-04-21,89.59,PayPal,TC00040,2025,4,April,2,21,0,Monday
TT00020,U00018,CR00045,2025-01-12,0.0,Credit Card,TC00040,2025,1,January,1,12,6,Sunday
TT00021,U00018,CR00001,2025-03-24,472.28,PayPal,TC00042,2025,3,March,1,24,0,Monday
TT00022,U00018,CR00029,2025-01-20,0.0,Credit Card,TC00042,2025,1,January,1,20,0,Monday
TT00023,U00028,CR00040,2025-05-06,327.99,Bank Transfer,TC00042,2025,5,May,2,6,1,Tuesday
TT00024,U00028,CR00010,2025-08-12,0.0,Bank Transfer,TC00042,2025,8,August,3,12,1,Tuesday
TT00025,U00028,CR00056,2025-03-04,212.39,Credit Card,TC00040,2025,3,March,1,4,1,Tuesday
TT00026,U00028,CR00021,2025-04-17,0.0,Credit Card,TC00040,2025,4,April,2,17,3,Thursday
TT00027,U00028,CR00031,2025-04-20,0.0,Bank Transfer,TC00040,2025,4,April,2,20,6,Sunday
TT00028,U00045,CR00043,2025-05-06,0.0,Credit Card,TC00040,2025,5,May,2,6,1,Tuesday
TT00029,U00045,CR00036,2025-04-28,0.0,PayPal,TC00040,2025,4,April,2,28,0,Monday
TT00030,U00045,CR00045,2025-07-10,0.0,Bank Transfer,TC00040,2025,7,July,3,10,3,Thursday
TT00031,U00045,CR00035,2025-07-27,0.0,Credit Card,TC00040,2025,7,July,3,27,6,Sunday
TT00032,U00048,CR00022,2025-11-19,0.0,Bank Transfer,TC00040,2025,11,November,4,19,2,Wednesday
TT00033,U00048,CR00016,2025-03-21,0.0,Bank Transfer,TC00040,2025,3,March,1,21,4,Friday
TT00034,U00048,CR00037,2025-05-25,0.0,PayPal,TC00040,2025,5,May,2,25,6,Sunday
TT00035,U00048,CR00025,2025-05-08,299.57,Credit Card,TC00040,2025,5,May,2,8,3,Thursday
TT00036,U00055,CR00058,2025-04-29,0.0,Bank Transfer,TC00040,2025,4,April,2,29,1,Tuesday
TT00037,U00055,CR00057,2025-05-17,177.34,PayPal,TC00040,2025,5,May,2,17,5,Saturday
TT00038,U00055,CR00014,2025-09-21,0.0,Credit Card,TC00040,2025,9,September,3,21,6,Sunday
TT00039,U00055,CR00016,2025-06-02,0.0,Credit Card,TC00042,2025,6,June,2,2,0,Monday
TT00040,U00055,CR00051,2025-09-14,37.89,PayPal,TC00042,2025,9,September,3,14,6,Sunday
