CourseID,CourseName,CourseCategory,CourseType,CourseLevel,CoursePrice,CourseDuration,CourseRating,EnrollmentCount,TotalRevenue,AvgTransactionAmount,TransactionCount,TeacherCount,AvgTeacherExperience,AvgTeacherRating,ExpertiseMatchRate,RevenuePerEnrollment,ExpectedRevenue,RevenueDifference
CR00001,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,164,77453.92,472.28,164,25,16.682926829268293,4.191646341463414,0.13414634146341464,472.28,77453.92,0.0
CR00002,Java Programming,Programming,Free,Intermediate,0.0,37.7,2.43,149,0.0,0.0,149,20,17.013422818791945,4.2114093959731544,0.1610738255033557,0.0,0.0,0.0
CR00003,C++ for Beginners,Programming,Free,Beginner,0.0,19.53,3.85,173,0.0,0.0,173,27,16.589595375722542,4.079017341040462,0.13872832369942195,0.0,0.0,0.0
CR00004,Advanced Python,Programming,Free,Beginner,0.0,45.13,2.88,154,0.0,0.0,154,27,15.896103896103897,4.097987012987013,0.16233766233766234,0.0,0.0,0.0
CR00005,Full Stack Development,Programming,Free,Beginner,0.0,28.68,1.28,166,0.0,0.0,166,29,15.795180722891565,4.05855421686747,0.15060240963855423,0.0,0.0,0.0
CR00006,Graphic Design Basics,Design,Paid,Advanced,276.37,48.84,2.72,156,43113.72,276.37,156,15,16.75,4.133461538461538,0.30128205128205127,276.37,43113.72,0.0
CR00007,UI/UX Design,Design,Free,Advanced,0.0,48.68,2.61,178,0.0,0.0,178,16,16.02247191011236,3.932584269662921,0.34269662921348315,0.0,0.0,0.0
CR00008,Photoshop Mastery,Design,Free,Advanced,0.0,2.87,1.52,158,0.0,0.0,158,15,16.329113924050635,3.999113924050633,0.3291139240506329,0.0,0.0,0.0
CR00009,Web Design Fundamentals,Design,Free,Beginner,0.0,48.19,4.51,155,0.0,0.0,155,19,15.387096774193548,3.9562580645161294,0.3548387096774194,0.0,0.0,0.0
CR00010,3D Modeling,Design,Free,Advanced,0.0,15.29,4.45,180,0.0,0.0,180,18,16.05,3.997055555555556,0.32222222222222224,0.0,0.0,0.0
CR00011,Entrepreneurship 101,Business,Paid,Intermediate,326.02,11.31,2.69,151,49229.02,326.02,151,16,16.52980132450331,3.9479470198675495,0.25165562913907286,326.02,49229.02,0.0
CR00012,Business Strategy,Business,Paid,Advanced,487.92,36.01,3.64,173,84410.16,487.92,173,18,16.052023121387283,3.9091907514450863,0.2658959537572254,487.92,84410.16,0.0
CR00013,Finance for Startups,Business,Free,Advanced,0.0,15.84,2.0,170,0.0,0.0,170,20,15.935294117647059,3.8742941176470587,0.27647058823529413,0.0,0.0,0.0
CR00014,Sales Mastery,Business,Free,Advanced,0.0,22.29,3.15,171,0.0,0.0,171,18,15.695906432748538,3.769298245614035,0.2982456140350877,0.0,0.0,0.0
CR00015,Leadership Essentials,Business,Paid,Beginner,285.05,34.78,1.96,168,47888.4,285.05,168,19,16.708333333333332,4.0042857142857144,0.23214285714285715,285.05,47888.4,0.0
CR00016,Digital Marketing,Marketing,Free,Intermediate,0.0,42.68,4.72,153,0.0,0.0,153,30,16.372549019607842,4.160065359477124,0.10457516339869281,0.0,0.0,0.0
CR00017,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,158,0.0,0.0,158,28,16.0126582278481,4.193291139240506,0.16455696202531644,0.0,0.0,0.0
CR00018,Social Media Marketing,Marketing,Free,Advanced,0.0,15.44,2.01,163,0.0,0.0,163,28,16.533742331288344,4.198159509202454,0.12883435582822086,0.0,0.0,0.0
CR00019,Content Marketing,Marketing,Free,Advanced,0.0,18.0,2.98,177,0.0,0.0,177,28,16.497175141242938,4.2006214689265535,0.14124293785310735,0.0,0.0,0.0
CR00020,Email Marketing,Marketing,Free,Intermediate,0.0,46.25,4.11,155,0.0,0.0,155,25,16.16774193548387,4.090258064516129,0.14838709677419354,0.0,0.0,0.0
CR00021,Data Analysis with Python,Data Science,Free,Intermediate,0.0,1.2,3.6,196,0.0,0.0,196,7,17.168367346938776,4.152448979591837,0.37755102040816324,0.0,0.0,0.0
CR00022,Data Visualization,Data Science,Free,Beginner,0.0,32.64,3.65,177,0.0,0.0,177,7,17.305084745762713,4.157627118644068,0.3446327683615819,0.0,0.0,0.0
CR00023,Machine Learning Fundamentals,Data Science,Free,Intermediate,0.0,9.71,3.02,185,0.0,0.0,185,7,16.194594594594594,4.0725945945945945,0.3945945945945946,0.0,0.0,0.0
CR00024,Big Data Analytics,Data Science,Paid,Advanced,117.68,48.09,2.57,166,19534.88,117.68,166,7,16.55421686746988,4.141867469879518,0.3855421686746988,117.68,19534.88,0.0
CR00025,Statistical Analysis,Data Science,Paid,Beginner,299.57,48.32,3.74,192,57517.44,299.57,192,7,16.489583333333332,4.13109375,0.3854166666666667,299.57,57517.44,0.0
CR00026,Intro to Machine Learning,Machine Learning,Free,Intermediate,0.0,47.7,4.73,172,0.0,0.0,172,18,14.05813953488372,4.291627906976744,0.8430232558139535,0.0,0.0,0.0
CR00027,Neural Networks,Machine Learning,Free,Advanced,0.0,9.3,1.81,152,0.0,0.0,152,17,14.493421052631579,4.269934210526316,0.8618421052631579,0.0,0.0,0.0
CR00028,Deep Learning,Machine Learning,Paid,Advanced,0.78,44.96,3.89,171,133.38,0.78,171,21,13.836257309941521,4.208128654970761,0.8245614035087719,0.78,133.38,0.0
CR00029,Natural Language Processing,Machine Learning,Free,Beginner,0.0,16.33,1.13,155,0.0,0.0,155,20,14.36774193548387,4.360129032258064,0.8774193548387097,0.0,0.0,0.0
CR00030,Reinforcement Learning,Machine Learning,Free,Intermediate,0.0,38.49,1.73,169,0.0,0.0,169,21,14.91715976331361,4.302426035502958,0.8461538461538461,0.0,0.0,0.0
CR00031,Network Security,Cybersecurity,Free,Intermediate,0.0,26.52,1.91,160,0.0,0.0,160,9,15.33125,3.7743124999999997,1.0,0.0,0.0,0.0
CR00032,Ethical Hacking,Cybersecurity,Free,Advanced,0.0,16.74,2.38,163,0.0,0.0,163,9,15.889570552147239,3.8412883435582823,1.0,0.0,0.0,0.0
CR00033,Cybersecurity Fundamentals,Cybersecurity,Free,Intermediate,0.0,48.25,3.93,167,0.0,0.0,167,9,15.766467065868264,3.814790419161677,1.0,0.0,0.0,0.0
CR00034,Data Encryption,Cybersecurity,Paid,Intermediate,394.26,47.44,1.35,150,59139.0,394.26,150,9,16.733333333333334,3.943666666666666,1.0,394.26,59139.0,0.0
CR00035,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,179,0.0,0.0,179,9,15.614525139664805,3.869720670391062,1.0,0.0,0.0,0.0
CR00036,Agile Project Management,Project Management,Free,Beginner,0.0,15.75,4.68,177,0.0,0.0,177,7,17.389830508474578,4.151299435028249,0.3615819209039548,0.0,0.0,0.0
CR00037,Scrum Essentials,Project Management,Free,Intermediate,0.0,33.93,3.45,153,0.0,0.0,153,7,16.562091503267975,4.004313725490196,0.40522875816993464,0.0,0.0,0.0
CR00038,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,158,54132.380000000005,342.61,158,7,17.29746835443038,4.165569620253164,0.34177215189873417,342.61,54132.380000000005,0.0
CR00039,Project Planning,Project Management,Paid,Advanced,346.71,3.42,1.23,167,57900.57,346.71,167,7,16.934131736526947,4.1438922155688624,0.3712574850299401,346.71,57900.57,0.0
CR00040,Leadership in Projects,Project Management,Paid,Beginner,327.99,12.13,1.51,174,57070.26,327.99,174,7,17.29310344827586,4.0952873563218395,0.3563218390804598,327.99,57070.26,0.0
CR00041,Financial Accounting,Finance,Paid,Beginner,53.86,47.08,2.47,166,8940.76,53.86,166,8,17.542168674698797,4.344879518072289,0.30120481927710846,53.86,8940.76,0.0
CR00042,Investment Strategies,Finance,Free,Intermediate,0.0,34.83,4.1,183,0.0,0.0,183,8,14.612021857923498,4.150437158469945,0.46994535519125685,0.0,0.0,0.0
