CourseID,Year,Month,MonthName,YearMonth,MonthlyEnrollment,MonthlyRevenue,MonthlyTransactionCount,AverageTransactionAmount,CourseName,CourseCategory,CourseType,CourseLevel,CoursePrice,CourseDuration,CourseRating,TeacherCount,AvgTeacherExperience,AvgTeacherRating,ExpertiseMatchRate,Quarter,IsQuarterStart,IsQuarterEnd,TimeIndex,PriceBand,DurationBucket,RatingTier,CourseTypeEncoded,CourseLevelEncoded,ExperienceBucket,TeacherRatingScore,TeacherQualityScore,ExpertiseMatchScore,RevenueEfficiency,MonthlyRevenuePerEnrollment,PreviousMonthEnrollment,PreviousMonthRevenue,PreviousMonthTransactionCount,PreviousMonthAverageTransactionAmount,Previous3MonthEnrollmentSum,Previous3MonthRevenueSum,Previous3MonthEnrollment,Previous3MonthRevenue,Previous6MonthEnrollment,Previous6MonthRevenue,EnrollmentGrowthRate,RevenueGrowthRate,HasPreviousMonthData,MonthSin,MonthCos,YearProgress,Category_Artificial Intelligence,Category_Business,Category_Cybersecurity,Category_Data Science,Category_Design,Category_Digital Marketing,Category_Finance,Category_Machine Learning,Category_Marketing,Category_Programming,Category_Project Management,Category_Web Development,PriceBand_Free,PriceBand_High,PriceBand_Low,PriceBand_Medium,Duration_Long,Duration_Medium,Duration_Short,Rating_Excellent,Rating_Good,Rating_Low,Rating_Medium,Experience_High,EnrollmentTarget,RevenueTarget
CR00001,2025,1,January,2025-01,18,8501.039999999999,18,472.28,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,25,16.682926829268293,4.191646341463414,0.1341463414634146,1,1,0,24301,High,Medium,Excellent,1,0,High,4.191646341463414,69.92892920880428,0.1341463414634146,18.0,472.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.49999999999999994,0.8660254037844387,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,18,8501.039999999999
CR00001,2025,2,February,2025-02,11,5195.08,11,472.28,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,25,16.682926829268293,4.191646341463414,0.1341463414634146,1,0,0,24302,High,Medium,Excellent,1,0,High,4.191646341463414,69.92892920880428,0.1341463414634146,11.0,472.28,18.0,8501.039999999999,18.0,472.28,18.0,8501.039999999999,18.0,8501.039999999999,18.0,8501.039999999999,-0.38888888888888884,-0.38888888888888884,1,0.8660254037844386,0.5000000000000001,0.09090909090909091,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,11,5195.08
CR00001,2025,3,March,2025-03,8,3778.24,8,472.28,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,25,16.682926829268293,4.191646341463414,0.1341463414634146,1,0,1,24303,High,Medium,Excellent,1,0,High,4.191646341463414,69.92892920880428,0.1341463414634146,8.0,472.28,11.0,5195.08,11.0,472.28,29.0,13696.119999999999,29.0,13696.119999999999,29.0,13696.119999999999,-0.2727272727272727,-0.2727272727272727,1,1.0,6.123233995736766e-17,0.18181818181818182,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,8,3778.24
CR00001,2025,4,April,2025-04,14,6611.92,14,472.28,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,25,16.682926829268293,4.191646341463414,0.1341463414634146,2,1,0,24304,High,Medium,Excellent,1,0,High,4.191646341463414,69.92892920880428,0.1341463414634146,14.000000000000002,472.28000000000003,8.0,3778.24,8.0,472.28,37.0,17474.36,37.0,17474.36,37.0,17474.36,0.75,0.7500000000000002,1,0.8660254037844387,-0.4999999999999998,0.2727272727272727,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,14,6611.92
CR00001,2025,5,May,2025-05,17,8028.759999999999,17,472.28,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,25,16.682926829268293,4.191646341463414,0.1341463414634146,2,0,0,24305,High,Medium,Excellent,1,0,High,4.191646341463414,69.92892920880428,0.1341463414634146,17.0,472.28,14.0,6611.92,14.0,472.28,33.0,15585.24,33.0,15585.24,51.0,24086.28,0.2142857142857142,0.2142857142857142,1,0.49999999999999994,-0.8660254037844387,0.36363636363636365,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,17,8028.759999999999
CR00001,2025,6,June,2025-06,11,5195.08,11,472.28,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,25,16.682926829268293,4.191646341463414,0.1341463414634146,2,0,1,24306,High,Medium,Excellent,1,0,High,4.191646341463414,69.92892920880428,0.1341463414634146,11.0,472.28,17.0,8028.759999999999,17.0,472.28,39.0,18418.92,39.0,18418.92,68.0,32115.039999999997,-0.3529411764705882,-0.3529411764705882,1,1.2246467991473532e-16,-1.0,0.45454545454545453,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,11,5195.08
CR00001,2025,7,July,2025-07,12,5667.36,12,472.28,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,25,16.682926829268293,4.191646341463414,0.1341463414634146,3,1,0,24307,High,Medium,Excellent,1,0,High,4.191646341463414,69.92892920880428,0.1341463414634146,12.0,472.28,11.0,5195.08,11.0,472.28,42.0,19835.76,42.0,19835.76,79.0,37310.119999999995,0.09090909090909083,0.09090909090909083,1,-0.4999999999999997,-0.8660254037844388,0.5454545454545454,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,12,5667.36
CR00001,2025,8,August,2025-08,12,5667.36,12,472.28,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,25,16.682926829268293,4.191646341463414,0.1341463414634146,3,0,0,24308,High,Medium,Excellent,1,0,High,4.191646341463414,69.92892920880428,0.1341463414634146,12.0,472.28,12.0,5667.36,12.0,472.28,40.0,18891.199999999997,40.0,18891.199999999997,73.0,34476.439999999995,0.0,0.0,1,-0.8660254037844385,-0.5000000000000004,0.6363636363636364,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,12,5667.36
CR00001,2025,9,September,2025-09,23,10862.44,23,472.2799999999999,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,25,16.682926829268293,4.191646341463414,0.1341463414634146,3,0,1,24309,High,Medium,Excellent,1,0,High,4.191646341463414,69.92892920880428,0.1341463414634146,23.000000000000004,472.28000000000003,12.0,5667.36,12.0,472.28,35.0,16529.8,35.0,16529.8,74.0,34948.72,0.9166666666666667,0.916666666666667,1,-1.0,-1.8369701987210297e-16,0.7272727272727273,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,23,10862.44
CR00001,2025,10,October,2025-10,13,6139.639999999999,13,472.28,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,25,16.682926829268293,4.191646341463414,0.1341463414634146,4,1,0,24310,High,Medium,Excellent,1,0,High,4.191646341463414,69.92892920880428,0.1341463414634146,13.0,472.28,23.0,10862.44,23.0,472.2799999999999,47.0,22197.16,47.0,22197.16,89.0,42032.92,-0.4347826086956522,-0.4347826086956522,1,-0.8660254037844386,0.5000000000000001,0.8181818181818182,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,13,6139.639999999999
