CourseCategory,Year,Month,YearMonth,CategoryRevenueTarget,PreviousMonthCategoryRevenue,Previous3MonthCategoryRevenue,Previous6MonthCategoryRevenue,CategoryRevenueGrowthRate,HasPreviousCategoryRevenue,CategoryEnrollment
Artificial Intelligence,2025,1,2025-01,21094.54,0.0,0.0,0.0,0.0,0,80
Artificial Intelligence,2025,2,2025-02,19459.260000000002,21094.54,21094.54,21094.54,-0.07752148186213109,1,81
Artificial Intelligence,2025,3,2025-03,21025.15,19459.260000000002,40553.8,40553.8,0.08047017204148561,1,84
Artificial Intelligence,2025,4,2025-04,15798.310000000001,21025.15,61578.950000000004,61578.950000000004,-0.24859941546195866,1,61
Artificial Intelligence,2025,5,2025-05,13702.17,15798.310000000001,56282.72,77377.26000000001,-0.13268128046607525,1,63
Artificial Intelligence,2025,6,2025-06,17239.39,13702.17,50525.630000000005,91079.43000000001,0.25815035136770303,1,69
Artificial Intelligence,2025,7,2025-07,16032.59,17239.39,46739.87,108318.82,-0.07000247688578304,1,66
Artificial Intelligence,2025,8,2025-08,12370.91,16032.59,46974.15,103256.87,-0.228389798529121,1,63
Artificial Intelligence,2025,9,2025-09,13590.21,12370.91,45642.89,96168.52,0.09856186812449523,1,54
Artificial Intelligence,2025,10,2025-10,16260.02,13590.21,41993.71000000001,88733.57999999999,0.1964509746354178,1,59
Artificial Intelligence,2025,11,2025-11,20494.989999999998,16260.02,42221.14,89195.29,0.26045293917227635,1,79
Artificial Intelligence,2025,12,2025-12,15683.130000000001,20494.989999999998,50345.22,95988.11,-0.23478225654172055,1,70
Business,2025,1,2025-01,18028.329999999998,0.0,0.0,0.0,0.0,0,82
Business,2025,2,2025-02,12579.029999999999,18028.329999999998,18028.329999999998,18028.329999999998,-0.3022631602594361,1,61
Business,2025,3,2025-03,16316.05,12579.029999999999,30607.359999999997,30607.359999999997,0.29708332041500823,1,81
Business,2025,4,2025-04,17095.92,16316.05,46923.409999999996,46923.409999999996,0.04779772064929925,1,77
