Feature1,Feature2,Correlation
Month,Quarter,0.9716254134469438
Month,TimeIndex,0.9999999999999989
Month,YearProgress,0.9999999999999996
CoursePrice,PreviousMonthAverageTransactionAmount,0.9428970888430572
CoursePrice,Previous3MonthRevenueSum,0.9010895074555427
CoursePrice,Previous3MonthRevenue,0.9010895074555427
AvgTeacherRating,TeacherRatingScore,1.0
ExpertiseMatchRate,ExpertiseMatchScore,1.0
Quarter,TimeIndex,0.9716254134468114
Quarter,YearProgress,0.9716254134469431
TimeIndex,YearProgress,1.0000000000000002
CourseTypeEncoded,PriceBand_Free,-1.0000000000000002
PreviousMonthEnrollment,PreviousMonthTransactionCount,1.0
PreviousMonthRevenue,PreviousMonthAverageTransactionAmount,0.9488654203605541
PreviousMonthRevenue,Previous3MonthRevenueSum,0.9317403799005932
PreviousMonthRevenue,Previous3MonthRevenue,0.9317403799005932
PreviousMonthAverageTransactionAmount,Previous3MonthRevenueSum,0.9554308902664215
PreviousMonthAverageTransactionAmount,Previous3MonthRevenue,0.9554308902664215
PreviousMonthAverageTransactionAmount,Previous6MonthRevenue,0.9130570480096901
Previous3MonthEnrollmentSum,Previous3MonthEnrollment,1.0
Previous3MonthRevenueSum,Previous3MonthRevenue,1.0
Previous3MonthRevenueSum,Previous6MonthRevenue,0.9613271203303448
Previous3MonthRevenue,Previous6MonthRevenue,0.9613271203303448
