CourseID,Year,Month,MonthName,YearMonth,MonthlyEnrollment,MonthlyRevenue,MonthlyTransactionCount,AverageTransactionAmount,CourseName,CourseCategory,CourseType,CourseLevel,CoursePrice,CourseDuration,CourseRating,TeacherCount,AvgTeacherExperience,AvgTeacherRating,ExpertiseMatchRate,Quarter,IsQuarterStart,IsQuarterEnd,TimeIndex
CR00001,2025,1,January,2025-01,18,8501.039999999999,18,472.28,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,25,16.682926829268293,4.191646341463414,0.13414634146341464,1,1,0,24301
CR00001,2025,2,February,2025-02,11,5195.08,11,472.28,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,25,16.682926829268293,4.191646341463414,0.13414634146341464,1,0,0,24302
CR00001,2025,3,March,2025-03,8,3778.24,8,472.28,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,25,16.682926829268293,4.191646341463414,0.13414634146341464,1,0,1,24303
CR00001,2025,4,April,2025-04,14,6611.92,14,472.28000000000003,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,25,16.682926829268293,4.191646341463414,0.13414634146341464,2,1,0,24304
CR00001,2025,5,May,2025-05,17,8028.759999999999,17,472.28,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,25,16.682926829268293,4.191646341463414,0.13414634146341464,2,0,0,24305
CR00001,2025,6,June,2025-06,11,5195.08,11,472.28,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,25,16.682926829268293,4.191646341463414,0.13414634146341464,2,0,1,24306
CR00001,2025,7,July,2025-07,12,5667.36,12,472.28,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,25,16.682926829268293,4.191646341463414,0.13414634146341464,3,1,0,24307
CR00001,2025,8,August,2025-08,12,5667.36,12,472.28,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,25,16.682926829268293,4.191646341463414,0.13414634146341464,3,0,0,24308
CR00001,2025,9,September,2025-09,23,10862.439999999999,23,472.2799999999999,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,25,16.682926829268293,4.191646341463414,0.13414634146341464,3,0,1,24309
CR00001,2025,10,October,2025-10,13,6139.639999999999,13,472.28,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,25,16.682926829268293,4.191646341463414,0.13414634146341464,4,1,0,24310
CR00001,2025,11,November,2025-11,13,6139.639999999999,13,472.28,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,25,16.682926829268293,4.191646341463414,0.13414634146341464,4,0,0,24311
CR00001,2025,12,December,2025-12,12,5667.36,12,472.28,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,25,16.682926829268293,4.191646341463414,0.13414634146341464,4,0,1,24312
CR00002,2025,1,January,2025-01,11,0.0,11,0.0,Java Programming,Programming,Free,Intermediate,0.0,37.7,2.43,20,17.013422818791945,4.2114093959731544,0.1610738255033557,1,1,0,24301
CR00002,2025,2,February,2025-02,10,0.0,10,0.0,Java Programming,Programming,Free,Intermediate,0.0,37.7,2.43,20,17.013422818791945,4.2114093959731544,0.1610738255033557,1,0,0,24302
CR00002,2025,3,March,2025-03,15,0.0,15,0.0,Java Programming,Programming,Free,Intermediate,0.0,37.7,2.43,20,17.013422818791945,4.2114093959731544,0.1610738255033557,1,0,1,24303
CR00002,2025,4,April,2025-04,20,0.0,20,0.0,Java Programming,Programming,Free,Intermediate,0.0,37.7,2.43,20,17.013422818791945,4.2114093959731544,0.1610738255033557,2,1,0,24304
CR00002,2025,5,May,2025-05,17,0.0,17,0.0,Java Programming,Programming,Free,Intermediate,0.0,37.7,2.43,20,17.013422818791945,4.2114093959731544,0.1610738255033557,2,0,0,24305
CR00002,2025,6,June,2025-06,12,0.0,12,0.0,Java Programming,Programming,Free,Intermediate,0.0,37.7,2.43,20,17.013422818791945,4.2114093959731544,0.1610738255033557,2,0,1,24306
CR00002,2025,7,July,2025-07,9,0.0,9,0.0,Java Programming,Programming,Free,Intermediate,0.0,37.7,2.43,20,17.013422818791945,4.2114093959731544,0.1610738255033557,3,1,0,24307
CR00002,2025,8,August,2025-08,17,0.0,17,0.0,Java Programming,Programming,Free,Intermediate,0.0,37.7,2.43,20,17.013422818791945,4.2114093959731544,0.1610738255033557,3,0,0,24308
CR00002,2025,9,September,2025-09,5,0.0,5,0.0,Java Programming,Programming,Free,Intermediate,0.0,37.7,2.43,20,17.013422818791945,4.2114093959731544,0.1610738255033557,3,0,1,24309
CR00002,2025,10,October,2025-10,9,0.0,9,0.0,Java Programming,Programming,Free,Intermediate,0.0,37.7,2.43,20,17.013422818791945,4.2114093959731544,0.1610738255033557,4,1,0,24310
CR00002,2025,11,November,2025-11,11,0.0,11,0.0,Java Programming,Programming,Free,Intermediate,0.0,37.7,2.43,20,17.013422818791945,4.2114093959731544,0.1610738255033557,4,0,0,24311
CR00002,2025,12,December,2025-12,13,0.0,13,0.0,Java Programming,Programming,Free,Intermediate,0.0,37.7,2.43,20,17.013422818791945,4.2114093959731544,0.1610738255033557,4,0,1,24312
CR00003,2025,1,January,2025-01,12,0.0,12,0.0,C++ for Beginners,Programming,Free,Beginner,0.0,19.53,3.85,27,16.589595375722542,4.079017341040462,0.13872832369942195,1,1,0,24301
CR00003,2025,2,February,2025-02,10,0.0,10,0.0,C++ for Beginners,Programming,Free,Beginner,0.0,19.53,3.85,27,16.589595375722542,4.079017341040462,0.13872832369942195,1,0,0,24302
CR00003,2025,3,March,2025-03,10,0.0,10,0.0,C++ for Beginners,Programming,Free,Beginner,0.0,19.53,3.85,27,16.589595375722542,4.079017341040462,0.13872832369942195,1,0,1,24303
CR00003,2025,4,April,2025-04,14,0.0,14,0.0,C++ for Beginners,Programming,Free,Beginner,0.0,19.53,3.85,27,16.589595375722542,4.079017341040462,0.13872832369942195,2,1,0,24304
