CourseCategory,ActualRevenue,PredictedRevenue,AbsoluteError,ForecastError,PercentageError
Artificial Intelligence,52438.14,50992.01791259064,3440.1936278378143,1446.122087409356,6.56047988703988
Business,46278.509999999995,44681.09569802645,4152.474301040025,1597.414301973542,8.972791693250336
Project Management,44356.45,41344.52846024332,3390.613361016858,3011.9215397566804,7.644014255011071
Programming,17946.64,17810.488524588112,1118.617837160862,136.15147541188708,6.2330209842113184
Data Science,17577.97,18120.61374107956,1060.0244357717866,-542.6437410795588,6.030414409467
Cybersecurity,16164.659999999998,19187.803577832306,6713.384535269184,-3023.1435778323084,41.53124492113775
Digital Marketing,10910.35,12852.209108102736,2277.1406757089935,-1941.8591081027353,20.871380622152298
Design,10778.43,12567.255125426396,1788.8251254263955,-1788.825125426396,16.59634218922789
Finance,6536.24,6343.083117977418,826.9744633113492,193.15688202258207,12.652143484807002
Web Development,4228.1,4277.853351530017,1986.0838166898927,-49.753351530016516,46.973435270922934
Machine Learning,23.400000000000002,155.68063086306938,161.92063086306936,-132.28063086306938,691.9685079618348
Marketing,0.0,1761.9967269921108,1761.9967269921108,-1761.9967269921108,0.0
